DATASET, #TRAINING_RELEASES, %TRAINING_INSTANCES, CLASSIFIER, BALANCING, PRECISION, RECALL, AUC, KAPPA, TP, FP, TN, FN
zookeeper,13,77.24268177525968,IBk,Undersampling,0.9062140391254315,0.8793969849246231,0.7815318509065019,0.4246905804175982,1575.0,163.0,215.0,216.0
zookeeper,14,76.76595744680851,IBk,Undersampling,0.9048884165781084,0.8679918450560652,0.8045125052770312,0.4775233767368695,1703.0,179.0,316.0,259.0
zookeeper,15,78.75486381322958,IBk,Undersampling,0.9019200830306175,0.910901467505241,0.8584342410252298,0.5737102393576534,1738.0,189.0,360.0,170.0
zookeeper,16,80.53977272727273,IBk,Undersampling,0.909957627118644,0.908994708994709,0.8663704254850089,0.6131157828679007,1718.0,170.0,406.0,172.0
zookeeper,17,83.90957446808511,IBk,Undersampling,0.8995271867612293,0.8947677836566725,0.8247251277766069,0.5347435685561616,1522.0,170.0,307.0,179.0
zookeeper,18,84.96894409937889,IBk,Undersampling,0.9243498817966903,0.9194591416813639,0.8802739047323254,0.6467250592188618,1564.0,128.0,349.0,137.0
zookeeper,19,84.1324200913242,IBk,Undersampling,0.9000543183052688,0.8767195767195767,0.8323161980841719,0.5608830369927046,1657.0,184.0,428.0,233.0
zookeeper,20,85.27542372881356,IBk,Undersampling,0.8675282714054927,0.895,0.8270813548591326,0.5584014373041782,1611.0,246.0,456.0,189.0
zookeeper,21,86.3147605083089,IBk,Undersampling,0.8727569331158238,0.8961474036850922,0.8503058655570185,0.5866112669521018,1605.0,234.0,495.0,186.0
zookeeper,22,85.49889135254989,IBk,Undersampling,0.99899849774662,0.679959100204499,0.7984548966144058,0.008653545666300635,1995.0,2.0,7.0,939.0
zookeeper,23,84.61201227531784,IBk,Undersampling,1.0,0.8148148148148148,0.8470813548591367,0.0,2574.0,0.0,0.0,585.0
zookeeper,1,65.78947368421052,Random Forest,Oversampling,0.9659090909090909,0.9916666666666667,0.6381597222222222,0.1715686274509817,595.0,21.0,3.0,5.0
zookeeper,2,78.02340702210664,Random Forest,Oversampling,0.9730538922155688,0.9908536585365854,0.810251524390244,0.1281169389509893,650.0,18.0,2.0,6.0
zookeeper,3,84.5943482224248,Random Forest,Oversampling,0.8616071428571429,0.9982758620689656,0.6107399425287356,0.04919798898731124,579.0,93.0,3.0,1.0
zookeeper,4,86.38297872340425,Random Forest,Oversampling,0.9504643962848297,0.8976608187134503,0.7746623503202451,0.4311606831648659,614.0,32.0,52.0,70.0
zookeeper,5,89.04109589041096,Random Forest,Oversampling,0.8381344307270233,0.9918831168831169,0.8172045881749829,0.2993948024207904,611.0,118.0,34.0,5.0
zookeeper,6,90.67961165048544,Random Forest,Oversampling,0.9139280125195618,0.954248366013072,0.9005729428523546,0.6431546419454522,584.0,55.0,101.0,28.0
zookeeper,7,92.78702518139139,Random Forest,Oversampling,0.8902654867256637,0.9673076923076923,0.8647189349112426,0.6338680926916221,503.0,62.0,94.0,17.0
zookeeper,8,91.02468212415856,Random Forest,Oversampling,0.9601029601029601,0.8714953271028038,0.8173919392523364,0.42995755003032154,746.0,31.0,73.0,110.0
zookeeper,9,92.25806451612904,Random Forest,Oversampling,0.8946107784431138,0.9291044776119403,0.7368246906493175,0.39677587103484147,747.0,88.0,68.0,57.0
zookeeper,10,93.15068493150685,Random Forest,Oversampling,0.8680387409200968,0.9484126984126984,0.8134564010789501,0.4734033090197473,717.0,109.0,95.0,39.0
zookeeper,11,93.79345866597991,Random Forest,Oversampling,0.842170160295931,0.9646892655367232,0.849413510769774,0.533164524909793,683.0,128.0,128.0,25.0
zookeeper,12,93.60505973295854,Random Forest,Oversampling,0.8852097130242825,0.9031531531531531,0.7628096846846847,0.4071864499759993,802.0,104.0,100.0,86.0
zookeeper,13,94.85152745139928,Random Forest,Oversampling,0.9104477611940298,0.9195979899497487,0.829366325675999,0.5004267772222899,732.0,72.0,96.0,64.0
zookeeper,14,94.6585795343377,Random Forest,Oversampling,0.9016018306636155,0.9036697247706422,0.8303325688073394,0.514509278825031,788.0,86.0,134.0,84.0
zookeeper,15,95.07842076798269,Random Forest,Oversampling,0.9031903190319032,0.9681603773584906,0.8925122757500773,0.6668788795161549,821.0,88.0,156.0,27.0
zookeeper,16,95.41192230408573,Random Forest,Oversampling,0.9081746920492721,0.9654761904761905,0.9035063244047619,0.6951955262472191,811.0,82.0,174.0,29.0
zookeeper,17,96.19496855345912,Random Forest,Oversampling,0.8928571428571429,0.958994708994709,0.8693471099131477,0.6062327633756206,725.0,87.0,125.0,31.0
zookeeper,18,96.40842980112794,Random Forest,Oversampling,0.9316455696202531,0.9735449735449735,0.9116377158829989,0.7628456404280114,736.0,54.0,158.0,20.0
zookeeper,19,96.11297539149888,Random Forest,Oversampling,0.8953356086461889,0.9369047619047619,0.8710871848739495,0.6291696564920609,787.0,92.0,180.0,53.0
zookeeper,20,96.32857897517168,Random Forest,Oversampling,0.8624161073825504,0.96375,0.8574559294871795,0.6271485546888785,771.0,123.0,189.0,29.0
zookeeper,21,96.48770697441044,Random Forest,Oversampling,0.8786464410735122,0.9459798994974874,0.8910272814690737,0.6619412914565436,753.0,104.0,220.0,43.0
zookeeper,22,96.11592825751276,Random Forest,Oversampling,0.9989539748953975,0.7323619631901841,0.8572661042944786,0.010872195526670526,955.0,1.0,3.0,349.0
zookeeper,23,96.14073666849917,Random Forest,Oversampling,1.0,0.8660968660968661,0.8472661042947533,0.0,1216.0,0.0,0.0,188.0
zookeeper,1,65.78947368421052,Naive Bayes,Oversampling,0.9673629242819843,0.988,0.6550222222222222,0.2078853046594989,741.0,25.0,5.0,9.0
